EINSATZORT ID;EINSATZORT BEZEICHNUNG;EINSATZORT STRASSE;EINSATZORT PLZ
MNFM100135672;COMCO EcoLease;- -;-
MNFM100000838;Sammler unbekannte Einsatzorte;;--
MNFM100005232;BZ Magdeburg WF / Verw.;;--
MNFM100005295;Ohne Zuordnung;;--
MNFM100005327;Ohne Zuordnung;;--
MNFM100005351;Ohne Zuordnung;;--
MNFM100005385;Ohne Zuordnung;;--
MNFM100005388;Ohne Zuordnung;;--
MNFM100005467;ohne Zuordnung;;--
MNFM100112245;BZ 65 Betriebstechnik(Abt.31);;--
MNFM100125480;Abteilung 32 - Verkehr;;--
MNFM100126440;Streetscooter Pool Aachen;;--
MNFM100130920;GFz als Fiwa;;--
MNFM100131080;GFz als Fiwa;;--
MNFM100135163;GFz als Firmenwagen;;--
MNFM100135345;Dummy Einsatzort STS Drittmarkt;;--
MNFM100136509;Dummy Einsatzort;;--
MNFM100136709;ZUI Rösch Nbg PZF 90431-90475;;--
MNFM100136770;SNL KT;;--
MNFM100136829;Berlin 55;Holzhauser Str. 155;--
MNFM100136969;GFz als Fiwa;;--
MNFM100137389;Abt 12, GFz Pool;Fraunhoferstr 10;--
RT30100000329;Hausservice,;Otto-Röhm-Str.;--
UBK;Ohne Zuordnung;;--
MNFM100135346;Dummy-Einsatzort;Dummy;0
MIG1000003;Sammler unbekannte Einsatzorte;Unbekannt;00000
MNFM100008479;Unbekannte Standorte;;00000
MN18565;0101 Dresden;Feldschlößchenstr.;01069
MNFM100122565;Dresden, ÜP Radeberger Str. 14;Radebergerstr. 14;01099
MNFM100131713;helplinePRO Auto-Schreyer Dresde;Hermann Mende Str.3;01099
MN181811;Dresden 10, Flughafenstr.;Flughafenstr. 100;01109
MN181812;Dresden 22, GroßenhainerStr.;Großenhainer Str. 149;01129
MN181813;Dresden 33, Bunsenstr.;Bunsenstr. 4;01139
MNFM100133020;0109 Mech ZB Dresden;Marie- Curie- Str. 14;01139
MN181803;Dresden 11 (Cossebaude);Bahnhofstr. 10;01156
BT01100000048;Dresden 13, Am Lehmberg;Am Lehmberg 54;01157
BT01100000008;Dresden 35, Wernerstr.;Wernerstr. 40;01159
MNFM100137209;CSG.TS Hr Jenchen;Am Stieglitzgrund 40;01169
MN181809;Dresden 25, Bambergerstr.;Bambergerstr. 7;01187
DUP192-MN184;Dresden 24, Rothäuserstr. 2;Rothäuserstr. 2;01219
MN181819;Dresden 5, Rothäuserstr. 2;Rothäuser Str. 2;01219
MN18568;0102 Dresden-Süd;Alttorna 5;01239
MN181806;Dresden 18, An der Post;An der Post 15;01257
MNFM100122642;ZUI_Sachsengarage_Dresden_LR09;Liebstädter Straße 5;01277
MNFM100132240;Dresden 50, Glashütter Str.;Glashütter Str. 101;01277
MNFM100118937;SNL P&P//Hr Sternberg;Gerokstr. 18;01307
MNFM100120556;ZSPL Dresden, Gerokstr. 18- 20;Gerokstr. 18- 20;01307
MNFM100135304;SNL IT P&P Standort Firmenwagen;Gerokstr. 14-20;01307
MN181858;Dresden 55, Bahnhofstr. 2;Bahnhofstr. 2;01328
MN181850;Radebeul 5 (Ost);Meißner Str. 191;01445
MN181845;Radeberg;Dresdener Str. 9;01454
DUP196-MN184;NL BK Dresden Abt.32 Ottendorf-Okrilla;Bergener Ring 8;01458
MN181837;Ottendorf-Okrilla;Bergener Ring 8;01458
MN181838;BZ Dresden Abt. 31(MOBIS);Bergener Ring 8;01458
MN18577;0100 Ottendorf-Okrilla;Bergener Ring 2-6;01458
MNFM100004628;BZ 01 Dresden Abt 31 MT;Bergener Ring 8;01458
MNFM100005186;BZ 01 Dresden Stab HS;Bergener Ring 8;01458
MNFM100005188;BZ 01 Dresden Abt 32 Verw.;Bergener Ring 8;01458
MNFM100007371;Hof BZ- 01;Bergener Ring 8;01458
MNFM100118015;BPM Langzeitmiete ohne Zuordnung;Bergener Ring 8;01458
MNFM100122584;ZUI_FaSchreyer_Ottendorf_LR01,02;Bergener Ring 1-3;01458
MNFM100133704;SNL HR//Hr Richter;Bergener Ring 8;01458
MNFM100136649;NL MKV/Pack//Hr Dolze;Bergener Ring 2-6;01458
NEUMN18579;NL PEL Ottendorf-Okrilla;Bergener Ring 2-6;01458
RT10100000596;HUB 01 - stationär;Bergener Ring 2-6;01458
MN181823;Großenhain;Bahnhofstr. 1;01558
MN181846;Riesa;Bahnhofstr. 43;01587
MN181822;Gröditz;Marktstr. 1;01609
MNFM100132241;Coswig, ÜP Coswig 171;Johana-Sebastian-Bach-Str. 7c;01640
DUP194-MN184;Meißen;Talstr. 42;01662
MNFM100007745;SC Dresden;Bremer Str. 7;01665
MNFM100124583;DHL Express Dresden;Bremer Str. 5;01665
MN181835;Nossen;Lindigtstr. 21;01683
MN181857;Weinböhla;Poststr. 45;01689
MN18572;0104 Gröbern;Gewerbepark 5;01689
MN181820;Freital;Lutherstr. 6;01705
MN181859;Grumbach;Am Gewerbepark 3;01723
MNFM100122016;TU - Krolikowski (Kesselsdorf);Unkersdorfer Str.19;01723
MN181842;Bannewitz (Possendf);Kastanienallee 3 b;01728
MN181805;Dippoldiswalde;Dr.-Friedrichs-Str. 5;01744
MN181843;Glashütte 2;Grimmsche Hauptstr. 76;01768
