Lat;Long;Radius;PLZ;Hersteller;Fz-Typ;FzObjNr;Baujahr;Tage seit Erstzulassung;Servicevertrag;IKZ;WerkstattKuerzel;Adresse;Bemerkung
;;;;;;100, 400, 402, 403;;;;;HS887;;Fiwa
;;;;Daimler AG;;;;;true;221%;HG537;;GAS MB Sprinter ehemals Arval - Fullservice
51.0399432;13.7291719;0.5;;Daimler AG;;;;;;;HS1212;01069+Dresden+Bayrische+Strasse+8;
51.0427028;13.7183066;0.5;;Daimler AG;;;;;;;HS1212;01069+Dresden+Feldschloesschenstrasse;
51.04357;13.71828;0.5;;Daimler AG;;;;;;;HS1212;01069+Dresden+Feldschloesschenstrasse+1;
51.0669535;13.7466665;0.5;;Daimler AG;;;;;;;HS1212;01099+Dresden+Koenigsberger+Strasse+21;
51.06661;13.76815;0.5;;Daimler AG;;;;;;;HS1212;01099+Dresden+Radebergerstrasse+14;
51.1235386;13.7611549;0.5;;Daimler AG;;;;;;;HS1212;01109+Dresden+Flughafenstrasse+100;
51.1219476;13.7622841;0.5;;Daimler AG;;;;;;;HS1212;01109+Dresden+Hermann+Reichelt+Strasse+3;
51.0870406;13.7252126;0.5;;Daimler AG;;;;;;;HS1212;01129+Dresden+Grossenhainer+Strasse+149;
51.0841702;13.7067625;0.5;;Daimler AG;;;;;;;HS1212;01139+Dresden+Bunsenstrasse+4;
51.0770004;13.685655;0.5;;Daimler AG;;;;;;;HA3871;01139+Dresden+Marie+Curie+Strasse+14;
51.085407;13.6333948;0.5;;Daimler AG;;;;;;;1S4;01156+Dresden+Bahnhofstrasse+10;
51.0613079;13.665271;0.5;;Daimler AG;;;;;;;HS1212;01157+Dresden+Am+Lehmberg+54;
51.0470389;13.7081803;0.5;;Daimler AG;;;;;;;HS1212;01159+Dresden+Loebtauer+Strasse+80;
51.0441622;13.6979872;0.5;;Daimler AG;;;;;;;HS1212;01159+Dresden+Wernerstrasse+40;
51.0452579;13.6694166;0.5;;Daimler AG;;;;;;;HS1212;01169+Dresden+Merianplatz+4;
51.0347093;13.7117758;0.5;;Daimler AG;;;;;;;HS1212;01187+Dresden+Bambergerstrasse+7;
51.0200496;13.769253;0.5;;Daimler AG;;;;;;;HS1212;01219+Dresden+RothAeuser+Strasse+2;
51.0061775;13.7783894;0.5;;Daimler AG;;;;;;;HS1212;01239+Dresden+Alttorna+5;
51.0014339;13.7850226;0.5;;Daimler AG;;;;;;;HS1212;01239+Dresden+Schoenbergstrasse+65;
51.0003683;13.8243839;0.5;;Daimler AG;;;;;;;HS1212;01257+Dresden+An+der+Post+15;
51.0273366;13.783476;0.5;;Daimler AG;;;;;;;HS1212;01277+Dresden+LiebstAedter+Strasse+5;
51.05274;13.76227;0.5;;Daimler AG;;;;;;;HS1212;01307+Dresden+Gerokstrasse+14+20;
51.05276;13.76233;0.5;;Daimler AG;;;;;;;HS1212;01307+Dresden+Gerokstrasse18+20;
51.0590916;13.879677;0.5;;Daimler AG;;;;;;;HS1212;01328+Dresden+Bahnhofstrasse+2;
51.0934676;13.6876858;0.5;;Daimler AG;;;;;;;HS1212;01445+Radebeul+Birkenstrasse+18;
51.1082568;13.6287867;0.5;;Daimler AG;;;;;;;HS1212;01445+Radebeul+Meissner+Strasse+285;
51.1148246;13.9151986;0.5;;Daimler AG;;;;;;;1S4;01454+Radeberg+Dresdener+Strasse+9;
51.1764071;13.8418793;0.5;;Daimler AG;;;;;;;1S4;01458+Ottendorf+Okrilla+Bergener+Ring+1;
51.1782856;13.839328;0.5;;Daimler AG;;;;;;;1S4;01458+Ottendorf+Okr++Bergener+Ring+2;
51.18015;13.8387653;0.5;;Daimler AG;;;;;;;1S4;01458+Ottendorf+Bautzen+Bergener+Ring+8;
51.2913923;13.5263152;0.5;;Daimler AG;;;;;;;HH101;01558+Grossenhain+Bahnhofstrasse+1;
51.3091936;13.2905383;0.5;;Daimler AG;;;;;;;HH101;01587+Riesa+Bahnhofstrasse+43;
51.4121283;13.4409924;0.5;;Daimler AG;;;;;;;HH101;01609+Groeditz+Marktstrasse+1;
51.1960369;13.310684;0.5;;Daimler AG;;;;;;;HH101;01623+Lommatzsch+R+Volkmann+Allee+5;
51.1482881;13.460178;0.5;;Daimler AG;;;;;;;1A54;01662+Meissen+Talstrasse+42;
